Explicit,Artist_Popularity,Performer,Song,Duration s,uri,url,WeekID,Week Position,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Year
False,49.0,Dokken,In My Dreams,260.093,spotify:track:6x4KvNzBNTRmwBKvuNH0hc,http://www.billboard.com/charts/hot-100/1986-02-22,1986-02-22,93,In My DreamsDokken,1,,93,1,1986
False,58.0,Stevie Wonder,Overjoyed,222.586,spotify:track:2lnQcP5hr4RKR63TFvnI4k,http://www.billboard.com/charts/hot-100/1986-02-22,1986-02-22,76,OverjoyedStevie Wonder,1,,76,1,1986
False,19.0,Jermaine Jackson,I Think It's Love,233.453,spotify:track:4UEIyuKqxfhsAFIttflI9f,http://www.billboard.com/charts/hot-100/1986-02-22,1986-02-22,74,I Think It's LoveJermaine Jackson,1,,74,1,1986
False,12.0,The Pointer Sisters,Twist My Arm,265.013,spotify:track:2MDpHXWHrf9sJ9MezHougc,http://www.billboard.com/charts/hot-100/1986-03-01,1986-03-01,93,Twist My ArmThe Pointer Sisters,1,,93,1,1986
False,53.0,Dire Straits,So Far Away,312.133,spotify:track:3pGBIgFdfdnjtHDJR4nbrR,http://www.billboard.com/charts/hot-100/1986-03-01,1986-03-01,66,So Far AwayDire Straits,1,,66,1,1986
False,26.0,Jackson Browne,For America,307.933,spotify:track:2r0oEagiOBdEAhVzc3ltly,http://www.billboard.com/charts/hot-100/1986-03-01,1986-03-01,72,For AmericaJackson Browne,1,,72,1,1986
False,24.0,Laura Branigan,I Found Someone,240.986,spotify:track:2xqYkaATHkjeT87FHyvowM,http://www.billboard.com/charts/hot-100/1986-03-01,1986-03-01,92,I Found SomeoneLaura Branigan,1,,92,1,1986
False,46.0,Honeymoon Suite,Feel It Again,277.293,spotify:track:27njtYcV3FjqmAvtxEUC4S,http://www.billboard.com/charts/hot-100/1986-03-08,1986-03-08,86,Feel It AgainHoneymoon Suite,1,,86,1,1986
False,42.0,Animotion,I Engineer,255.2,spotify:track:3ilYhdbWqY3mE1nlAhhOmh,http://www.billboard.com/charts/hot-100/1986-03-08,1986-03-08,98,I EngineerAnimotion,1,,98,1,1986
False,49.0,Miami Sound Machine,Bad Boy,235.506,spotify:track:5AM6VOkN7ficA2O04f5JG1,http://www.billboard.com/charts/hot-100/1986-03-08,1986-03-08,76,Bad BoyMiami Sound Machine,1,,76,1,1986
False,59.0,Nu Shooz,I Can't Wait,218.826,spotify:track:647q0KZHceDZTyLExHU0ue,http://www.billboard.com/charts/hot-100/1986-03-08,1986-03-08,92,I Can't WaitNu Shooz,1,,92,1,1986
False,67.0,Van Halen,Why Can't This Be Love,227.693,spotify:track:0TaT50ZZxT4ytZxuqkE3A9,http://www.billboard.com/charts/hot-100/1986-03-15,1986-03-15,52,Why Can't This Be LoveVan Halen,1,,52,1,1986
False,17.0,Dennis DeYoung,Call Me,285.6,spotify:track:5icgnsjQiYwiEq8i0YoGM5,http://www.billboard.com/charts/hot-100/1986-03-15,1986-03-15,95,Call MeDennis DeYoung,1,,95,1,1986
False,38.0,Bob Seger,American Storm,243.263,spotify:track:2t9qMdL9Pa6Sp6u2u413gi,http://www.billboard.com/charts/hot-100/1986-03-15,1986-03-15,56,American StormBob Seger,1,,56,1,1986
False,29.0,Julian Lennon,Stick Around,245.56,spotify:track:7FIqkrMFzbORpWI8vjWp9L,http://www.billboard.com/charts/hot-100/1986-03-22,1986-03-22,72,Stick AroundJulian Lennon,1,,72,1,1986
False,18.0,Starpoint,Restless,231.84,spotify:track:1hfM5Sj9LaLW54m7Ihtpuy,http://www.billboard.com/charts/hot-100/1986-03-22,1986-03-22,85,RestlessStarpoint,1,,85,1,1986
False,63.0,Ozzy Osbourne,Shot in the Dark,256.293,spotify:track:31dqpLUModJWNbxrXu6TWd,http://www.billboard.com/charts/hot-100/1986-03-22,1986-03-22,95,Shot in the DarkOzzy Osbourne,1,,95,1,1986
False,51.0,Rene & Angela,Your Smile,255.973,spotify:track:7GPd68coLrQ0prQcbceWkG,http://www.billboard.com/charts/hot-100/1986-03-22,1986-03-22,89,Your SmileRene & Angela,1,,89,1,1986
