0,1,2,3,4
Marva Whitney,31.0,Marva Whitney,spotify:artist:691nF1fI0SKCfsIypzFr7h,"['deep funk', 'funk']"
Lawrence Reynolds,2.0,Lawrence Reynolds,spotify:artist:1QUKNp0QR0SOSmYjoROBKR,['country gospel']
,,,,
Neon Philharmonic,18.0,The Neon Philharmonic,spotify:artist:3K1Z59H3m2F4AhWvKMzqBR,['sunshine pop']
The Beginning Of The End,35.0,The Beginning Of The End,spotify:artist:5dS6VBacLLPyLDAfK3B0OR,"['bahamian pop', 'rare groove']"
The Glass Bottle,8.0,The Glass Bottle,spotify:artist:0DS9Sq0o5z2T4l1h7MUoKd,[]
,,,,
,,,,
,,,,
The Soul Children,29.0,The Soul Children,spotify:artist:74keeJdeVxqce4qJFj6WGx,"['classic soul', 'memphis soul', 'soul', 'southern soul']"
Python Lee Jackson,27.0,Python Lee Jackson,spotify:artist:7lWPkt4uoVwqSO7QpuYmdN,[]
Lyn Collins,42.0,Lyn Collins,spotify:artist:6XJPGyxrP66scKvIE9kpPN,"['classic soul', 'funk', 'modern funk', 'soul', 'southern soul']"
Ripple,38.0,Infinity Ripple,spotify:artist:43BCjiV6q327zly4HaH8QL,[]
Peter Shelley,0.0,Peter Bysshe Shelley,spotify:artist:3eoRbuWq6aq9tm3M2my5Co,[]
,,,,
Cory,63.0,Cory Asbury,spotify:artist:2gXmjQIxCO8lMnSncluZaU,"['ccm', 'christian music', 'deep ccm', 'world worship', 'worship']"
Carrie,73.0,Carrie Underwood,spotify:artist:4xFUf1FHVy696Q1JQZMTRj,"['contemporary country', 'country', 'country dawn', 'oklahoma country', 'pop']"
Frank Lucas,33.0,Frank Lucas,spotify:artist:4YWD5LjplBEohow8eVg230,['pop venezolano']
Philadelphia International All Stars,27.0,The Philadelphia International All-Stars,spotify:artist:65LAAoHRaxtbWobjZdZOuX,[]
John Belushi,3.0,John Belushi,spotify:artist:4ESKnB3MUdZktI7uDnsGnx,[]
BTO,57.0,BTOB,spotify:artist:2hcsKca6hCfFMwwdbFvenJ,"['k-pop', 'k-pop boy group']"
Burt Reynolds,23.0,Burt Reynolds,spotify:artist:2D5bxrK8NJKmSymP9jfXx8,[]
Loz Netto,3.0,Loz Netto,spotify:artist:5YEumCU4t1RzE4QnrofWYV,[]
,,,,
Laban,43.0,Felix Laband,spotify:artist:3E6Tbv49KoKnCoGqHJHQGx,"['electronica', 'south african alternative', 'south african electronic']"
,,,,
Kool Moe Dee,53.0,Kool Moe Dee,spotify:artist:2RE8NwNxsOyuNZDD0jRxHP,"['east coast hip hop', 'electro', 'gangster rap', 'harlem hip hop', 'hip hop', 'hip house', 'new jack swing', 'old school hip hop', 'rap']"
Amazulu,22.0,Shaka Amazulu The 7th,spotify:artist:7rDn5lYbCFDYLL6ZirkSuR,"['spiritual hip hop', 'wu fam']"
3 Man Island,0.0,Three Man Island,spotify:artist:4ZcDRHgcj4wmvydbUvaoHA,[]
,,,,
Good Question,0.0,Good Question,spotify:artist:1LuS3sLs7IUWPxmKgocfoo,[]
Gina Go-Go,29.0,Gina Goes Wild,spotify:artist:2kCWxXQc7gB1hEbN0rcMHo,['trancecore']
Jaya,73.0,Harris Jayaraj,spotify:artist:29aw5YCdIw2FEXYyAJZI8l,"['filmi', 'tamil pop']"
The Brat Pack,8.0,The Shermer High Brat Pack,spotify:artist:4KCr9UA12jfag04PZsPrkl,[]
Aftershock,48.0,Aftershock,spotify:artist:6KlY7jizsLWQcXR1F2Sn9j,"['euphoric hardstyle', 'hardstyle', 'rawstyle']"
The Rebel Pebbles,2.0,The Rebel Pebbles,spotify:artist:1tCf6wXSd8CXPAshLBEYNb,[]
,,,,
,,,,
Chuckii Booker,32.0,Chuckii Booker,spotify:artist:3O7IxMv6D9iFICSUa5w9X4,"['contemporary r&b', 'new jack swing', 'quiet storm', 'urban contemporary']"
Bruce Hornsby,56.0,Bruce Hornsby,spotify:artist:2iM28IgKg89v1o7BTQAVPo,"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'pop rock', 'singer-songwriter', 'soft rock']"
Everything But The Girl,59.0,Everything But The Girl,spotify:artist:13ccXrK7AmXb4TddMkE7jy,"['electronica', 'new wave pop', 'pop rock', 'sophisti-pop', 'trip hop']"
Mindy McCready,42.0,Mindy McCready,spotify:artist:2uB5sjjJwj4kB6TrRGLYJO,"['country', 'country dawn']"
QT,40.0,qtsal,spotify:artist:4nU4hcuzDYzD7bngLWSbi5,[]
,,,,
Faithless,64.0,Faithless,spotify:artist:5T4UKHhr4HGIC0VzdZQtAE,"['downtempo', 'electronica', 'trip hop']"
Suga Free,49.0,Suga Free,spotify:artist:7AjokpCIqf0gHMZJlodw2k,"['g funk', 'gangster rap', 'hip hop', 'hyphy', 'rap', 'west coast rap', 'west coast trap']"
The Brian Setzer Orchestra,50.0,The Brian Setzer Orchestra,spotify:artist:7HQH1SJokcVMdstilKJ2S8,"['heartland rock', 'rockabilly', 'swing']"
Sawyer Brown,52.0,Sawyer Brown,spotify:artist:50hFWG3MaUUX5phNrrVc97,"['country', 'country road', 'country rock']"
Sherrie Austin,21.0,Sherrié Austin,spotify:artist:73KwO09942aGUnNO7bZiGa,"['country', 'country dawn']"
,,,,
,,,,
,,,,
,,,,
T.O.K.,44.0,T.O.K,spotify:artist:06JH3wcXkJg7eoxZVMO1UX,"['dancehall', 'panamanian pop']"
,,,,
,,,,
Juanes,77.0,Juanes,spotify:artist:0UWZUmn7sybxMCqrw9tGa7,"['colombian pop', 'latin pop', 'mexican pop', 'rock en espanol', 'tropical']"
Cassie,64.0,Cassie,spotify:artist:27FGXRNruFoOdf1vP8dqcH,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']"
,,,,
Diddy Featuring Keyshia Cole,20.0,Diddy Featuring Keyshia Cole,spotify:artist:455ntbvzeFL1bIcEKhlebq,[]
,,,,
,,,,
,,,,
Heidi Newfield,43.0,Heidi Newfield,spotify:artist:6Jb5H8o9T7c4C13vLFpyPY,"['country', 'country dawn', 'country road']"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
